INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,MARICO    ,30/09/2021,00000553.40,00000554.75,00000544.25,00000547.85,000000002878000,     1289811400.00,          2354000,             1177,              904
FUTSTK    ,MARICO    ,28/10/2021,00000555.85,00000556.85,00000546.30,00000550.05,000000008454000,     1759067600.00,          3198000,             1599,             1270
FUTSTK    ,MARICO    ,25/11/2021,00000552.05,00000552.10,00000547.60,00000550.65,000000000134000,       26404400.00,            48000,              024,              024
FUTSTK    ,MARUTI    ,30/09/2021,00007388.55,00007401.05,00007293.80,00007335.00,000000001027200,     6950269635.00,           945600,             9456,             6099
FUTSTK    ,MARUTI    ,28/10/2021,00007400.00,00007426.20,00007322.00,00007354.40,000000003095600,     9324740640.00,          1264900,            12649,             8644
FUTSTK    ,MARUTI    ,25/11/2021,00007411.10,00007450.00,00007354.00,00007374.05,000000000027600,       63607255.00,             8600,              086,              084
FUTSTK    ,MCDOWELL-N,30/09/2021,00000830.75,00000865.85,00000829.00,00000854.60,000000003195000,     5507702375.00,          6451250,             5161,             4624
FUTSTK    ,MCDOWELL-N,28/10/2021,00000831.10,00000868.50,00000831.10,00000856.65,000000016722500,    12599948687.50,         14705000,            11764,            10461
FUTSTK    ,MCDOWELL-N,25/11/2021,00000842.00,00000869.50,00000842.00,00000859.10,000000000147500,      168747500.00,           196250,              157,              153
FUTSTK    ,MCX       ,30/09/2021,00001657.65,00001697.55,00001639.70,00001650.70,000000000940450,     2296731255.00,          1380400,             3944,             2705
FUTSTK    ,MCX       ,28/10/2021,00001665.00,00001708.65,00001649.80,00001662.05,000000001827350,     2696871187.50,          1610000,             4600,             3330
FUTSTK    ,MCX       ,25/11/2021,00001685.95,00001697.95,00001665.30,00001665.30,000000000011200,        2933910.00,             1750,              005,              005
FUTSTK    ,METROPOLIS,30/09/2021,00002725.65,00002741.75,00002684.40,00002696.25,000000000022600,      432316280.00,           159600,              798,              702
FUTSTK    ,METROPOLIS,28/10/2021,00002741.95,00002754.10,00002685.10,00002701.20,000000000458600,      715236320.00,           263400,             1317,             1195
FUTSTK    ,METROPOLIS,25/11/2021,00002710.00,00002752.65,00002700.95,00002711.55,000000000005800,        9794520.00,             3600,              018,              017
FUTSTK    ,MFSL      ,30/09/2021,00001010.35,00001024.35,00000998.90,00001013.80,000000000198250,      660760197.50,           655200,             1008,              867
FUTSTK    ,MFSL      ,28/10/2021,00001014.60,00001027.95,00001002.30,00001016.85,000000002550600,      971535142.50,           958750,             1475,             1301
FUTSTK    ,MFSL      ,25/11/2021,00001015.30,00001028.00,00001010.00,00001020.00,000000000012350,        5299612.50,             5200,              008,              008
FUTSTK    ,MGL       ,30/09/2021,00001080.80,00001089.90,00001067.15,00001083.35,000000000196200,      955225200.00,           883800,             1473,             1351
